,__catalogCourseId,dateStart,pid,id,title,catalogActivationDate,name,description,id,linkedGroup
54,AGTEC220,2021-01-01,EkgPIox3i-,5e5fe0909a5ce427003da132,Machinery Safety and Maintenance,2020-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
55,AGTEC230,2019-01-01,Ey-wUsxni-,5aa69e8d71d9872e002a4a5d,Agriculture Electrical Systems,2018-12-21,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
56,AGTEC290R,2016-01-01,NylPUsxns-,310c7e54-577a-4c87-b5e6-b961004ff8ef,Individual Study,2016-01-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
57,AGTEC294,2021-01-01,VJ_IjehjZ,5e28b92c9fd15d280099293f,Agriculture Fabrication,2020-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
58,AGTEC301,2022-01-01,4kxOUog2s-,6026e7532cbfbb00275c2c43,Engine and Tractor Power,2021-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
59,AGTEC330,2019-01-01,ryEbdNNYM,5aa6b7fc6b20dc2e0077a471,Processing and Handling Systems,2018-12-21,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
60,AGTEC360,2022-01-01,EJZKUjlhoZ,604f8005ce3c5c002693a80b,Fluid Power Technology,2021-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
61,AGTEC465,2022-01-01,V1qUoe2ib,6026eb413503ad0027b21ab6,Machinery and Power Management,2021-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
62,AGTEC486,2019-01-01,4J-cUol3jW,5abeb51643874f2e009798d7,Precision Agriculture,2018-12-21,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
63,AGTEC489,2022-01-01,rJB6ZikSd,606221bc43594e00261e83c1,Technology Capstone 1,2021-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
64,AGTEC490R,2019-01-01,V1sIil3jb,5aa6ba6e6b20dc2e0077a488,Technology Capstone ,2018-12-21,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
65,AGTEC491,2022-01-01,rkVj4W3Z_,602e849bb345420026a85282,Technology Capstone 2,2021-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
66,ANTH101,2016-01-01,VJgi8je2sZ,e1a36b0b-b37b-421f-a583-fbba433d319a,Introduction to Cultural Anthropology,2016-01-01,ANTH,Anthropology,fd6c01c8-bce3-4e42-99d0-1f824192a9b9,578be7a9aeb3767907f3b4f8
67,APS103,2019-01-01,NJWiUol2iZ,5aa9498871d9872e002a586c,Home Gardening,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
68,APS122,2019-01-01,VkGiUsxniZ,5aa94a7a71d9872e002a5880,Introduction to Plant Science,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
69,APS123,2019-01-01,ryxMipUKM,5aa94b07bc10652e00c3fe82,Introduction to Plant Science Laboratory,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
70,APS220,2019-01-01,VJnIsg2iZ,5aa94dd2bc10652e00c3fe91,Introduction to Soils,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
71,APS220L,2016-01-01,EJlh8olhs-,622be862-b00a-4606-8e5c-674bbd7bc18b,Introduction to Soils Lab,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
72,APS232,2016-01-01,EJbnUsx3ob,2ab635c7-72b4-43ea-8a60-a855a7f07364,Agriculture Sales and Merchandising,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
73,APS290R,2016-01-01,E16Lje2o-,591c7b04-36e3-4e02-a108-510092f3d6b7,Special Problems,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
74,APS299R,2019-01-01,Nyep8jenoW,5abba5b3f3c2f32e00bfb734,Seminar,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
75,APS312,2016-01-01,4yxpIjl3iZ,1c40399e-b2ca-4521-b22a-e647d98ca014,Alternative Cropping Systems,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
76,APS339R,2016-01-01,VyZa8il3oZ,2cfbd533-8b50-414a-b0b2-b29418d1a9b6,APS Portfolio,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
77,APS350,2019-01-01,NkCUoe3i-,5aa94f4b6b20dc2e0077b154,Plant Breeding and Genetics,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
78,APS397R,2019-01-01,N1yPjgnsZ,5aa953a0bc10652e00c3febd,Agronomy  Practicum,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
79,APS398R,2016-01-01,Nkywjxno-,a7b93e9d-5e0c-4091-a7f3-da0c395d7fc6,Internship,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
80,APS412,2016-01-01,Vye1wighib,1ca23f63-3842-4a31-96c1-40ac2fa3a029,Integrated Pest Management,2016-01-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
81,APS462,2019-01-01,H1YrZfdtz,5aaa9141096b872e005f2143,Crop Insect Management,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
82,APS465,2019-01-01,4yzyPil2sW,5aa9579bccc8db2e003789ad,Integrated Weed Management,2018-12-21,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
83,APS490R,2020-01-01,HJJtWBnIV,5c7ec177818b2c2400167234,Special Topics in Applied Plant Science,2019-12-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
84,APS497R,2020-01-01,BkExugSm4,5c4777ebee77472400e4163e,Mentored Student Research,2019-12-01,APS,Applied Plant Science,363d3d1a-9f78-4076-86e3-b4cc09532ca3,578be523f764effe0672e7ff
85,ARAB101,2020-01-01,HJwd_APIH,5d80e3488f7e982400bf7e48,Arabic I,2019-12-01,ARAB,Arabic,5d7a5bc6c661412400ef5b46,
86,ARAB102,2022-01-01,HkZDnjVxP,60392024c05de900268a964f,Arabic II,2021-12-01,ARAB,Arabic,5d7a5bc6c661412400ef5b46,
87,ARCH100,2022-01-01,Vkewil3ob,600ae78036a9610026ca06d1,Survey of Architecture and Construction,2021-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
88,ARCH120,2021-01-01,41xgDje3i-,5dd854cd6c6f7d24000782aa,Computer Aided Design I,2020-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
89,ARCH180,2016-01-01,Ekbgwol3i-,65e781a4-1ed4-4e32-a60e-4d1f16b3f7fb,Presentation Graphics I,2016-01-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
90,ARCH190,2021-01-01,VkGePil3jZ,5e53f9cbff4a3825003ea036,Building Information Modeling I,2020-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
91,ARCH201,2022-01-01,4yZPix2iW,61f19b453c04ec7bb5abfcfe,Architectural Design,2021-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
92,ARCH225,2022-01-01,Bku3MEcAD,5ffcb2af2b79c00027189a63,Architectural Detailing,2021-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
93,ARCH270,2022-01-01,4kWZwsgnjb,5ffc701e32e13f0027d44b59,Construction Documents,2021-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
94,ARCH285,2022-01-01,EJGbDoe3oZ,600b1bfacb3f590026cc043a,Presentation Graphics II,2021-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
95,ARCH290,2016-01-01,EJzDsghjb,e5be2bcb-ae30-4e70-80f8-30eb397436a5,Building Information Modeling II,2016-01-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
96,ARCH300,2021-01-01,4kxMwixhsZ,5dd85aa16c6f7d2400078327,Design and Construction Technology,2020-12-01,ARCH,Architecture,92bd039a-bf6f-4355-b025-8ec3df0204c8,578be928f764effe0672e83f
97,ART101,2016-01-01,EJ-Mwjl2sb,5de93756-38f0-40a1-b926-f7af63242700,Introduction to the Visual Arts,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
98,ART102,2016-01-01,NyGMPje2jb,bc7f1850-566f-47df-9b49-ee6a318381c1,General Art-2D,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
99,ART106,2022-01-01,SJVpKpczd,603d49bcc160990027c63502,Freshman Art Orientation Seminar,2021-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
100,ART107,2020-01-01,VJeQDox2j-,5c5882d04ede7f24003529b7,Design and Color,2019-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
101,ART110,2016-01-01,VkWmvsx3sW,4d197c9b-4d4f-4b78-9aed-29231a3c9d6b,Drawing I,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
102,ART125,2020-01-01,NkzXwsl2sZ,5c7583294b9f402400aa4061,Adobe CC Basics,2019-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
103,ART130,2020-01-01,Ek4Psx2sb,5f2c86dd1083460026851b3e,Introduction to Graphic Design,2020-08-10,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
104,ART142,2016-01-01,VylNvolnob,0096700f-696e-4979-a100-2454304d9214,Media Experimentation,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
105,ART160,2020-01-01,NyZEDjxhib,5c58848938ba3d2400a6b54a,Photography I,2019-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
106,ART201,2016-01-01,4yzNDsxho-,dbdfe95a-bb9c-4fbd-bbdf-bfe3d3db2759,Art History I,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
107,ART202,2022-01-01,NkrDieniZ,602d92f2d4d8a600272a7db6,Art History II,2021-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
108,ART210,2016-01-01,V1eSPoghj-,a8387e20-adc1-45bd-9769-8c52756080e6,Drawing II,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
109,ART212R,2022-01-01,Nk-HDjlniZ,602edd9f329a470026141588,Head Drawing,2021-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
110,ART217,2016-01-01,VyLvjx2iW,4a19cc97-e5f3-404e-91ed-d3f25d33dfda,Design and Color II,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
111,ART220,2022-01-01,Eyg8Pjx3iW,603802d0975b5c00273366d7,Ceramics I,2021-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
112,ART230,2020-01-01,EJWLvog3jZ,5f31b95c356e470026b5df8a,Typography,2020-08-10,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
113,ART231,2020-01-01,4y-bP3lnjb,5c58b3f1804893240074eb21,Design Thinking: Inquiry and Innovation,2019-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
114,ART235,2020-01-01,4JMIwignj-,5f31c3411d74be0026ff03d2,Graphic Design,2020-08-10,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
115,ART240,2016-01-01,N1DDsehs-,c028cbc8-82be-4de7-b409-7355b1aaf25d,Introduction to Illustration,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
116,ART245R,2022-01-01,rkJEeddDu,608af02623a93482525299b3,2D Digital Illustration ,2021-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
117,ART248R,2022-01-01,EJgvDil2i-,603940d3c05de900268a97a2,Character Animation I,2021-12-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
118,ART250,2016-01-01,NyvvsxnjZ,ee6164b7-1b04-4fe8-8d04-e06e4eb10515,Oil Painting I,2016-01-01,ART,Art,4b5486c3-d467-42b5-86cb-e1b68689e4ef,578bea14aeb3767907f3b517
