,id,suggestion,author,date_created,last_upvoted,comments,status,votes,Description
48,161964,Filter pets,Moses,"22 Feb, 2021",28 Jul,2,Done,44,"Pets can be a must or a deal-breaker for certain people. Allow users to specify on their profile that they have or want pets, and make this a filterable attribute on their profile."
49,170233,Group date feature,Jaden,"16 Mar, 2021",07 Jul,6,Under consideration,43,"I'm not entirely sure how this would work. I think an option when creating a profile could be to create a group profile. I know people already do this, but making it easier for people would encourage more group profiles. Then it would encourage group dates, which would relieve a lot of the pressure on dating. And it would make mutual safer for all."
50,176262,Add additional location filter by state,Ryan,"04 Apr, 2021",09 Aug,5,Under consideration,43,"I'd like to filter the search by state. See everyone in Nevada or Texas, etc."
51,197289,Ghosting ratio,Sunny,"10 Jul, 2021",05 Aug,3,Under consideration,40,"Ghosting isn't the worst but it isn't the best. Have a button for people to report ghosting, ask if their sure, and have the app verify there has been no response for a month or so, then report their statistics on their profile. Get rid of people who chronically ghost others ( >75%)"
52,174225,Time stamps,emma,"27 Mar, 2021",28 Jul,3,Under consideration,39,Adding time stamps for each message in a chat would be helpful (I.e. swiping messages to the left to see what time they were sent at)
53,180047,Not for me instead of no reason,Kay,"19 Apr, 2021",2 days ago,1,In Development,39,"It's such a small thing, but it bugs me every single time. Of course I have a reason for unmatching with someone. And it's not any of those other suggestions. Inappropriate behavior isn't the only reason to move on from someone. I simply wish to discontinue my correspondence with that person. Why does that need to fall under the 'Other' category?"
54,184344,Picture upload zoom issue,Daniel,"09 May, 2021",14 Jul,6,In Development,36,"Change mutual feature to stop uploading pictures automatically zoomed in really far. Every time I add a picture it's super zoomed in, would prefer people to see more of me and surroundings"
55,164998,Filter ethnicity,B,"02 Mar, 2021",24 Jul,15,Under consideration,35,
56,165040,Add spotify top artists,Moses,"02 Mar, 2021",09 Aug,8,Under consideration,33,
57,203487,When ward hopping have option to display both real and hopped location,Matt Eden,"17 Aug, 2021",13 Aug,2,Under consideration,33,"It would be nice for the search function to also work from both locations, as the people you are shown have to have your location/statistics within their preferences.  Having both locations displayed would mean you wouldn't have to explain that you dont actually love there."
58,200161,Filter language,Paige,"27 Jul, 2021",23 Jul,14,Done,31,"Filter based on languages. If I only speak English, and a guy doesn't speak English at all, (or vice versa) then it would obviously not be a good match.  For example, users input whatever languages they speak, and then only users with at least one language in common show up as potential matches."
59,190177,See who liked me list view,Michael Patterson,"09 Jun, 2021",16 Jul,8,Under consideration,30,"Rather than have a queue of people who liked you, have a list view that allows you to scroll through and like anybody who liked you. This allows you to browse your list without having to make a decision right away and makes it easier to have the conversations you want to have first."
60,183909,Show new people by most compatible first,Laura,"07 May, 2021",09 Aug,2,Under consideration,29,"Instead of showing new people according to random order or by who is closest, show the people with highest compatibility first (those with similar tags, interest level, etc)"
61,176263,Reset all swipes option,Ryan,"04 Apr, 2021",today,1,Bug,28,"The current refresh oldest 100 thing is very glitchy right now. I click it, but nothing happens unless I change my search parameters. Go back to what we had before."
62,190702,Willing to relocate,mark Osborn,"11 Jun, 2021",16 Jul,3,Done,27,Would be nice to know if someone in a different country/state is willing to relocate to my country/state if we hit it off
63,202492,Make the about me section a required field,Moses Lotulelei,"10 Aug, 2021",09 Aug,2,Under consideration,27,"This encourages higher quality profiles which lead to more meaningful conversations. If someone does not write an about me, it's hard to find conversation starters based solely on their pics."
64,192803,Friends only section,Adam fox,"19 Jun, 2021",16 Jul,14,Under consideration,26,"Used specifically for people just looking for friends, similar to bumble BFF feature. Looking for some homies so this would include dudes seeing other dudes."
65,181754,Filter exclude utah from results,Chris,"26 Apr, 2021",10 Aug,0,Under consideration,26,"I've wished this was a feature for years: a filter to exclude Utah from the search location settings. Dating for members outside of Utah, even being a member outside of Utah, can be very different than being a member actually in Utah. And that's a preference that, at least for me, I'm very interested in. When I do an anywhere search, I get tired of seeing all the Utah results (makes sense, largest demographic). However, the outside Utah people, in the US and rest of the world, I find I actually make contact with more often & enjoy talking to much more. It's just a demographic difference. Even offline, members outside of Utah tend to enjoy connecting more, we can drive an hour easy just to gather & hang out for an afternoon. It's a bit more exciting because we're used to being so few. Without this option, the generic anywhere setting still results in the majority of people shown being Utah people."
66,164931,Filter favorite school,Moses,"01 Mar, 2021",07 Jul,23,Under consideration,24,"Filter through current students/alumni or other users who have a favorite university (e.g. BYU, U of U, Utah State, UVU, etc.)."
67,192616,Add a blind dating feature for people who dont want looks to influence if they m,Chad,"19 Jun, 2021",09 Aug,5,Under consideration,24,
68,175614,Downvote option on the feedback site,Jared,"31 Mar, 2021",2 days ago,5,Not planned,24,"We should have a downvote option on the feedback site. There are many topics, for instance, NCMO's, that the vast majority are opposed to but which would show an abnormal number of likes if they were posted. This bias is introduced because the parties in favor of said topic are more fanatical than the mainstream party. Feeling a strong connection to it means they upvote. It takes too long for some people to add a comment against a topic and they feel that they would be drowned out by many other comments anyway if they were to post (especially after seeing the many upvotes for that topic).  Downvotes would resove this problem and allow a bigger picture for support or opposition to a topic. At the end of the day, this isn't a democracy anyway; Mutual will decide what policies and practices they adopt on their own. I think downvoting is a necessary part of feedback."
69,198340,Filter body type,Stephanie,"17 Jul, 2021",09 Aug,4,Under consideration,24,There was an option for this on ldssingles and many other dating apps. Body types can be something like this: SlimAthleticAbout AverageA Few Extra PoundsCurvyOverweight
70,189478,Get rid of spamfraudulent users,Chele,"07 Jun, 2021",09 Aug,10,In Development,22,There is more spam on this account than any other... I have been asked for money at least 5 times.
71,170258,Web browser support,Q,"16 Mar, 2021",16 Jul,10,Under consideration,22,I am a software engineer and can help implement this
72,181384,Photo age,Joseph Smith,"23 Apr, 2021",09 Aug,2,Under consideration,21,A date stamp (can be approximate) that tells how old photos are
73,165226,Facebook mutual friends,Ashlee,"02 Mar, 2021",07 Jul,3,Not planned,19,Ability to see mutual friends on Facebook so I know who to contact to set me up!
74,173851,Limit new matches based on how often you respond to the ones you already have,Josh,"26 Mar, 2021",01 Aug,0,Under consideration,18,"If you want to keep matching/swiping, you should either delete older matches that you've lost interest in, or respond to matches you already have. People would be way less likely to swipe up on people they would ghost, and they may even find love with an old match. It's a good way of encouraging people to seriously investigate people, or at least not waste other people's time. It would also make the ""see who likes me"" feature more appealing since people would want to make the best use of their limited match space.I'd be more interested in a person if I knew they had limited storage and used some on me. Someone with full storage could still come up on other people's feed,  but their feed would say ""You've been talking to 2 out of your 30 matches in the last week.  Reach out to some before you keep matching""People who regularly respond wouldn't have that issue or would at least have more storage. Potentially another premium feature.  50 matches instead of 30. Thank you"
75,173621,Translate messages,Giovanna,"25 Mar, 2021",07 Jul,7,Not planned,17,Many times there are people who know each other but cannot speak due to the language difference.
76,194118,Add education level,Holly,"26 Jun, 2021",17 Jul,3,Under consideration,17,"As someone with a masters degree who makes Clos to 6 figures, I don't want someone who has been working at Walmart since high school. I want an equal. Education is important to me, I also want it to be important to my partner.  It could be a drop down with options: (high school, tech school, some college, bachelor's, graduate degree)"
77,169247,Fix ig integration,Anonymous,"13 Mar, 2021",11 Jul,2,Bug,17,Ig photos are zoomed in when expanded and there is no way to scroll the image
78,164972,World wide distance,Cole,"02 Mar, 2021",03 Jul,2,Under consideration,17,"If I choose to look at everyone world wide, it would be nice to have an option where the distance starts out close to my area then slowly expands outward"
