,id,suggestion,author,date_created,last_upvoted,comments,status,votes
114,180047,Not for me instead of no reason,Kay,"19 Apr, 2021",19 Oct,1,Open,42
115,174225,Time stamps,emma,"27 Mar, 2021",yesterday,3,Open,41
116,184344,Picture upload zoom issue,Daniel,"09 May, 2021",22 Oct,6,Open,40
117,203487,When ward hopping have option to display both real and hopped location,Matt Eden,"17 Aug, 2021",01 Sep,4,Open,38
118,165040,Add spotify top artists,Moses,"02 Mar, 2021",13 Oct,8,Open,37
119,176263,Reset all down swipes option,Ryan,"04 Apr, 2021",14 Oct,3,Closed,36
120,190177,See who liked me list view,Michael Patterson,"09 Jun, 2021",20 Sep,8,Open,35
121,198340,Filter body type,Stephanie,"17 Jul, 2021",13 Oct,9,Open,33
122,181754,Filter exclude utah from results,Chris,"26 Apr, 2021",20 Oct,4,Open,33
123,200161,Filter language,Paige,"27 Jul, 2021",26 Aug,15,Closed,32
124,192803,Friends only section,Adam fox,"19 Jun, 2021",17 Oct,14,Open,32
125,202492,Make the about me section a required field,Moses Lotulelei,"10 Aug, 2021",13 Oct,4,Open,32
126,183909,Show new people by most compatible first,Laura,"07 May, 2021",20 Aug,3,Open,31
127,190702,Display if willing to relocate on profile,mark Osborn,"11 Jun, 2021",10 Oct,7,Closed,30
128,192616,Add a blind dating feature for people who dont want looks to influence if they m,Chad,"19 Jun, 2021",13 Oct,7,Open,29
129,175614,Downvote option on the feedback site,Jared,"31 Mar, 2021",21 Sep,6,Closed,28
130,189478,Get rid of spamfraudulent users,Chele,"07 Jun, 2021",14 Oct,13,Open,27
131,170258,Web browser support,Q,"16 Mar, 2021",13 Oct,10,Open,26
132,164931,Filter favorite school,Moses,"01 Mar, 2021",13 Oct,24,Open,25
133,179087,Add more then 2 letters for the state or country better geographic clarity pleas,James McLean,"14 Apr, 2021",17 Sep,1,Open,24
134,181384,Photo age,Joseph Smith,"23 Apr, 2021",01 Sep,2,Open,23
135,173851,Limit total number of matches based on your responsiveness with existing matches,Josh,"26 Mar, 2021",15 Oct,0,Closed,21
136,307193,Lower subscription price,Bay,11 Jun,20 Sep,1,Closed,20
137,194118,Add education level,Holly,"26 Jun, 2021",01 Sep,4,Open,19
138,165226,Facebook mutual friends,Ashlee,"02 Mar, 2021",07 Jul,3,Closed,19
139,172209,Home screen should be messaging,Dan,"21 Mar, 2021",21 Sep,1,Open,19
140,173621,Automatically translate messages,Giovanna,"25 Mar, 2021",07 Jul,10,Closed,18
141,199535,Fix photo sizing,Kyra,"26 Jul, 2021",21 Sep,8,Open,18
142,186715,Allow those who you have liked to see you liked them,Anonymous,"21 May, 2021",02 Oct,2,Open,18
143,164972,World wide distance,Cole,"02 Mar, 2021",14 Sep,2,Open,18
144,175897,Publish dating market statistics for an area,Trent,"02 Apr, 2021",29 Aug,0,Open,18
145,188769,Filter returned missionary,Matthew S. Mahoney,"03 Jun, 2021",19 Aug,12,Open,17
146,192610,Add a section asking about covid vaccination status,Chad,"19 Jun, 2021",13 Oct,6,Open,17
147,165321,Minimum character count in bio,Qaseem Maajid-Bey,"02 Mar, 2021",11 Sep,2,Closed,17
148,194685,See at least 1 person per week,Micah Conover,"29 Jun, 2021",10 Oct,0,Closed,17
149,179930,Timedate stamp on messages,Howie,"18 Apr, 2021",yesterday,1,Open,16
150,161005,See who i have liked,Moses,"19 Feb, 2021",today,81,Feedback Needed,1.2000
151,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",yesterday,35,Feedback Needed,627
152,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,54,Feedback Needed,598
153,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,42,Feedback Needed,521
154,164928,Filter church activity,Moses,"01 Mar, 2021",30 Oct,47,Released,483
155,296565,Remove swipe limit,Sheppard,30 Apr,yesterday,66,Feedback Needed,381
156,161000,Dark mode,Moses,"19 Feb, 2021",2 days ago,11,Feedback Needed,224
157,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",30 Oct,18,Feedback Needed,206
158,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,4,Feedback Needed,199
159,161961,Conversation prompts,Moses,"22 Feb, 2021",28 Oct,26,Feedback Needed,167
160,165044,Neighboring countries filter,Erik,"02 Mar, 2021",today,19,Feedback Needed,164
161,165319,Higher character count in bio,Qaseem,"02 Mar, 2021",today,18,Feedback Needed,162
162,165991,Search by name,Morgan,"03 Mar, 2021",01 Nov,27,Feedback Needed,155
