,Country,Name,POS,AGE,HT,WT,Country_logo,BMI
79,Brazil,Ederson,Goalkeeper,29,187.96,85.7,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,24.3
80,Brazil,Weverton,Goalkeeper,34,187.96,88.9,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,25.2
81,Brazil,Dani Alves,Defender,39,170.18,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.3
82,Brazil,Bremer,Defender,25,187.96,79.8,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.6
83,Brazil,Danilo,Defender,31,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.2
84,Brazil,Marquinhos,Defender,28,182.88,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.4
85,Brazil,Eder Militao,Defender,24,185.42000000000002,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.6
86,Brazil,Alex Sandro,Defender,31,177.8,65.8,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,20.8
87,Brazil,Thiago Silva,Defender,38,182.88,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.6
88,Brazil,Alex Telles,Defender,29,180.34,65.8,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,20.2
89,Brazil,Casemiro,Midfielder,30,182.88,83.9,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,25.1
90,Brazil,Fabinho,Midfielder,29,187.96,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.0
91,Brazil,Fred,Midfielder,29,167.64000000000001,63.9,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.7
92,Brazil,Bruno Guimaraes,Midfielder,25,180.34,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.9
93,Brazil,Lucas Paqueta,Midfielder,25,177.8,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.7
94,Brazil,Everton Ribeiro,Midfielder,33,172.72,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.4
95,Brazil,Gabriel Jesus,Forward,25,172.72,72.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,24.3
96,Brazil,Vinicius Junior,Forward,22,175.26,72.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.6
97,Brazil,Gabriel Martinelli,Forward,21,177.8,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.7
98,Brazil,Neymar,Forward,30,172.72,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.7
99,Brazil,Pedro,Forward,25,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,23.2
100,Brazil,Raphinha,Forward,25,175.26,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,22.0
101,Brazil,Richarlison,Forward,25,182.88,70.7,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,21.1
102,Brazil,Rodrygo,Forward,21,172.72,63.9,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,21.4
103,Brazil,Antony Santos,Forward,22,170.18,62.6,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,21.6
104,Cameroon,Devis Epassy,Goalkeeper,29,185.42000000000002,81.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.7
105,Cameroon,Simon Ngapandouetnbu,Goalkeeper,19,185.42000000000002,73.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,21.5
106,Cameroon,Andre Onana,Goalkeeper,26,187.96,90.7,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.7
107,Cameroon,Jean-Charles Castelletto,Defender,27,185.42000000000002,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,22.6
108,Cameroon,Enzo Ebosse,Defender,23,182.88,73.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,22.1
109,Cameroon,Collins Fai,Defender,30,165.1,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.6
110,Cameroon,Olivier Mbaizo,Defender,25,177.8,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,22.1
111,Cameroon,Nicolas N`Koulou,Defender,32,182.88,76.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,22.9
112,Cameroon,Jerome Ngom Mbekeli,Defender,24,172.72,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.4
113,Cameroon,Nouhou Tolo,Defender,25,177.8,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.0
114,Cameroon,Christopher Wooh,Defender,21,190.5,89.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,24.7
115,Cameroon,Martin Hongla,Midfielder,24,180.34,76.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.6
116,Cameroon,Pierre Kunde,Midfielder,27,177.8,85.7,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,27.1
117,Cameroon,Souaibou Marou,Midfielder,21,177.8,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,24.5
118,Cameroon,Georges-Kevin N’Koudou,Midfielder,27,170.18,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.8
