Country,Name,POS,AGE,HT,WT
Costa rica,Celso Borges,Midfielder,34,180.34,78.9
Costa rica,Daniel Chacon,Midfielder,21,182.88,68.9
Costa rica,Bryan Ruiz,Midfielder,37,185.42000000000002,79.8
Costa rica,Yeltsin Tejeda,Midfielder,30,177.8,66.7
Costa rica,Gerson Torres,Midfielder,25,175.26,62.6
Costa rica,Roan Wilson,Midfielder,20,182.88,59.0
Costa rica,Joel Campbell,Forward,30,177.8,77.6
Costa rica,Anthony Contreras,Forward,22,177.8,71.7
Costa rica,Johan Venegas,Forward,34,182.88,75.7
Croatia,Ivo Grbic,Goalkeeper,26,193.04,82.5
Croatia,Ivica Ivusic,Goalkeeper,27,193.04,84.8
Croatia,Dominik Livakovic,Goalkeeper,27,187.96,78.9
Croatia,Borna Barisic,Defender,30,185.42000000000002,79.8
Croatia,Martin Erlic,Defender,24,190.5,77.6
Croatia,Josko Gvardiol,Defender,20,182.88,79.8
Croatia,Josip Juranovic,Defender,27,172.72,68.9
Croatia,Dejan Lovren,Defender,33,187.96,88.0
Croatia,Borna Sosa,Defender,24,185.42000000000002,78.9
Croatia,Josip Stanisic,Defender,22,185.42000000000002,76.6
Croatia,Josip Sutalo,Defender,22,187.96,81.6
Croatia,Domagoj Vida,Defender,33,182.88,72.6
Croatia,Marcelo Brozovic,Midfielder,30,180.34,67.6
Croatia,Kristijan Jakic,Midfielder,25,180.34,74.8
Croatia,Mateo Kovacic,Midfielder,28,175.26,76.6
Croatia,Lovro Majer,Midfielder,24,177.8,74.8
Croatia,Luka Modric,Midfielder,37,170.18,65.8
Croatia,Mario Pasalic,Midfielder,27,187.96,77.6
Croatia,Luka Sucic,Midfielder,20,182.88,79.8
Croatia,Nikola Vlasic,Midfielder,25,177.8,71.7
Croatia,Ante Budimir,Forward,31,187.96,74.8
Croatia,Andrej Kramaric,Forward,31,175.26,72.6
Croatia,Marko Livaja,Forward,29,180.34,79.8
Croatia,Mislav Orsic,Forward,29,177.8,68.9
Croatia,Ivan Perisic,Forward,33,185.42000000000002,76.6
Croatia,Bruno Petkovic,Forward,28,190.5,88.0
Denmark,Oliver Christensen,Goalkeeper,23,187.96,81.6
Denmark,Frederik Ronnow,Goalkeeper,30,187.96,80.7
Denmark,Kasper Schmeichel,Goalkeeper,36,187.96,88.9
Denmark,Joachim Andersen,Defender,26,190.5,86.6
Denmark,Alexander Bah,Defender,24,182.88,75.7
Denmark,Andreas Christensen,Defender,26,190.5,81.6
Denmark,Simon Kjaer,Defender,33,190.5,85.7
Denmark,Rasmus Kristensen,Defender,25,185.42000000000002,69.8
Denmark,Joakim Maehle,Defender,25,182.88,78.9
Denmark,Victor Nelsson,Defender,24,182.88,77.6
Denmark,Jens Stryger Larsen,Defender,31,180.34,80.7
Denmark,Daniel Wass,Defender,33,180.34,73.9
Denmark,Mikkel Damsgaard,Midfielder,22,177.8,69.8
Denmark,Thomas Delaney,Midfielder,31,177.8,78.9
Denmark,Christian Eriksen,Midfielder,30,180.34,64.9
Denmark,Pierre Hojbjerg,Midfielder,27,185.42000000000002,83.9
Denmark,Mathias Jensen,Midfielder,26,177.8,67.6
Denmark,Jesper Lindstrom,Midfielder,22,180.34,65.8
Denmark,Christian Norgaard,Midfielder,28,185.42000000000002,76.6
Denmark,Andreas Olsen,Midfielder,22,185.42000000000002,78.9
Denmark,Robert Skov,Midfielder,26,182.88,80.7
Denmark,Martin Braithwaite,Forward,31,177.8,72.6
Denmark,Andreas Cornelius,Forward,29,193.04,90.7
Denmark,Kasper Dolberg,Forward,25,185.42000000000002,81.6
Denmark,Yussuf Poulsen,Forward,28,190.5,83.9
Denmark,Jonas Wind,Forward,23,187.96,81.6
Ecuador,Alexander Dominguez,Goalkeeper,35,193.04,81.6
Ecuador,Hernan Galindez,Goalkeeper,35,187.96,89.8
Ecuador,Moises Ramirez,Goalkeeper,22,182.88,74.8
Ecuador,Robert Arboleda,Defender,31,187.96,82.5
Ecuador,Xavier Arreaga,Defender,28,182.88,75.7
Ecuador,Pervis Estupinan,Defender,24,172.72,72.6
Ecuador,Piero Hincapie,Defender,20,182.88,75.7
Ecuador,William Pacho,Defender,21,187.96,80.7
Ecuador,Diego Palacios,Defender,23,167.64000000000001,64.9
Ecuador,Jackson Porozo,Defender,22,190.5,83.9
Ecuador,Angelo Preciado,Defender,24,172.72,72.6
Ecuador,Felix Torres,Defender,25,185.42000000000002,77.6
Ecuador,Moises Caicedo,Midfielder,21,177.8,72.6
Ecuador,Jose Cifuentes,Midfielder,23,177.8,67.6
Ecuador,Alan Franco,Midfielder,24,172.72,66.7
Ecuador,Carlos Gruezo,Midfielder,27,170.18,70.7
Ecuador,Romario Ibarra,Midfielder,28,172.72,77.6
Ecuador,Angel Mena,Midfielder,34,167.64000000000001,70.7
Ecuador,Jhegson Mendez,Midfielder,25,172.72,69.8
Ecuador,Gonzalo Plata,Midfielder,22,177.8,64.9
Ecuador,Ayrton Preciado,Midfielder,28,180.34,77.6
Ecuador,Jeremy Sarmiento,Midfielder,20,177.8,69.8
Ecuador,Michael Estrada,Forward,26,185.42000000000002,77.6
Ecuador,Djorkaeff Reascos,Forward,23,170.18,70.7
Ecuador,Kevin Rodriguez,Forward,22,187.96,79.8
Ecuador,Enner Valencia,Forward,33,175.26,74.8
England,Jordan Pickford,Goalkeeper,28,182.88,76.6
England,Nick Pope,Goalkeeper,30,190.5,75.7
England,Aaron Ramsdale,Goalkeeper,24,187.96,76.6
England,Trent Alexander-Arnold,Defender,24,172.72,69.8
England,Conor Coady,Defender,29,182.88,77.6
England,Eric Dier,Defender,28,187.96,89.8
England,Harry Maguire,Defender,29,190.5,99.8
England,Luke Shaw,Defender,27,182.88,74.8
England,John Stones,Defender,28,187.96,69.8
England,Kieran Trippier,Defender,32,177.8,80.7
England,Kyle Walker,Defender,32,177.8,69.8
England,Ben White,Defender,25,185.42000000000002,77.6
England,Jude Bellingham,Midfielder,19,185.42000000000002,74.8
England,Phil Foden,Midfielder,22,177.8,69.8
England,Conor Gallagher,Midfielder,22,182.88,73.9
