,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,Fin de operación reportada
156,Kingston College,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Concepción,673817 E 5927247 N,18,en línea,2009-01-01,
78,La Calera,NO INFORMADO,NO INFORMADO,de Valparaíso,Quillota,Calera,294940 E 6370730 N,19,carga manual,1999-06-01,
77,"La Cruz, Colbún",Enel,NO INFORMADO,de Valparaíso,Quillota,Calera,291759 E 6363531 N,19,carga manual,2008-01-01,
90,"La Cruz, Melón",Cementos Melon S.A.,NO INFORMADO,de Valparaíso,Quillota,La Cruz,291464 E 6367285 N,19,carga manual,2003-12-23,
119,La Florida,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,La Florida,352504 E 6290304 N,19,en línea,1997-03-24,
146,La Florida,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Talca,Talca,256889 E 6075395 N,19,en línea,2004-01-01,
95,La Greda,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Puchuncaví,268185 E 6373910 N,19,en línea,1992-07-01,
101,La Palma,Central Termoelectrica Nehuenco,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Quillota,Quillota,2933302 E 6358631 N,19,en línea,2004-11-01,
120,La Pintana,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,La Pintana,348555 E 6279245 N,19,carga manual,2002-01-01,
67,La Serena,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Coquimbo,282211 E 6687896 N,19,en línea,2013-12-10,
196,La Union,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,de los Ríos,Ranco,La Unión,663446 E 5538659 N,19,en línea,2017-10-05,
163,"Lagunillas, ENEL",Enel Generacion Chile S.A.,Serpram S.A,del Biobío,Concepción,Coronel,664362 E 5905258 N,18,en línea,2009-09-01,
171,Laja,CMPC PULP SpA,Serpram S.A,del Biobío,Biobío,Laja,702974 E 5872964 N,19,en línea,2005-01-01,
121,Las Condes,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Las Condes,358305 E 6305906 N,19,en línea,1997-04-01,
192,Las Encinas Temuco,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de La Araucanía,Cautín,Temuco,706767 E 5708420 N,18,en línea,1999-12-31,
88,Las Gaviotas,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,267940 E 6355336 N,19,en línea,2002-05-01,
177,Lautaro,CMPC PULP SpA,Serpram S.A,del Biobío,Biobío,Nacimiento,707166 E 5846063 N,18,en línea,2008-10-01,
184,Libertad,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Talcahuano,132748 E 5928589 N,19,carga manual,2000-06-01,2009-06-30
189,Liceo Polivalente,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Tomé,682597 E 5947369 N,18,en línea,2009-01-01,
145,Linares,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Linares,Linares,265805 E 6031030 N,19,en línea,2015-04-30,
92,Lo Campo,Fundicion Chagres de Anglo American Sur S.A.,CESMEC S.A,de Valparaíso,San Felipe de Aconcagua,Panquehue,322275 E 6369529 N,19,en línea,1994-01-01,
107,Loncura,ENEL CHILE S.A.,Servicios y Proyectos Ambientales S.A,de Valparaíso,Valparaíso,Quintero,266226 E 6368689 N,19,en línea,2011-10-01,
91,Los Andes,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Los Andes,Los Andes,351534 E 6364623 N,19,en línea,2007-11-01,
96,Los Maitenes,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Puchuncaví,270073 E 6372171 N,19,en línea,1993-10-01,
38,Los Volcanes,ENAMI Fundición Hernán Videla Lira,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Copiapó,371047 E 6971867 N,19,en línea,1992-10-01,
173,Los Ángeles Oriente,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Biobío,Los Angeles,736622 E 5850392 N,18,en línea,2012-04-14,
164,Lota rural,Enel Generacion Chile S.A.,INERCO Tecnologia Chile SpA,del Biobío,Concepción,Coronel,664203 E 5892415 N,18,en línea,2009-09-01,
165,Lota urbana,Enel Generacion Chile S.A.,INERCO Tecnologia Chile SpA,del Biobío,Concepción,Coronel,664885 E 5895289 N,18,en línea,2010-06-10,
182,MASISA Mapal,MASISA-MAPAL,CESMEC S.A,del Biobío,Concepción,San Pedro de la Paz,665665 E 5918223 N,18,carga manual,2005-11-08,
139,MVC,Minera Valle Central,SK Ecología S.A.,del Libertador General Bernardo O'Higgins,Cachapoal,Requinoa,338706 E 6212755 N,19,carga manual,2008-07-01,
103,Manzanar,NO INFORMADO,NO INFORMADO,de Valparaíso,Quillota,Quillota,278154 E 6355829 N,19,carga manual,2008-01-01,
98,Meteorológica Principal,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Puchuncaví,267310 E 6371939 N,19,carga manual,1992-07-01,
153,"Meteorológica, Chiguayante",INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,del Biobío,Concepción,Chiguayante,674983 E 5912937 N,19,en línea,2005-01-01,2010-02-27
205,Mirasol,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de los Lagos,Llanquihue,Puerto Montt,669585 E 5406017 N,18,en línea,2013-06-04,
194,Museo Ferroviario,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de La Araucanía,Cautín,Temuco,711144 E 5710911 N,18,carga manual,2009-01-01,
